條碼,品號,品名,類別,通路,份數,包數,份數價格,包數價格,商品結帳價
4710586220162,D50100015,0-15蘋果米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220179,D50100016,0-16水梨米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220186,D50100017,0-17雞肉米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220193,D50100018,0-18豬肉米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220209,D50100019,0-19鯛魚米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220216,D50100020,0-20牛肉米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220223,D50100021,0-21絲瓜米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220971,D50200001,1-01玉米菇菇雞蓉粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220506,D50200002,1-02雙瓜豬肉粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220537,D50200003,1-03紅蔔甜椒雞蓉粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220957,D50200004,1-04青翠白花豬豬粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220575,D50200005,1-05番茄野菇雞蓉粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220698,D50200006,1-06秋葵白菜牛肉粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220834,D50200007,1-07紫心豬豬粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220636,D50200008,1-08木耳海藻魚片粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220919,D50200009,1-09清甜美人粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220773,D50200010,1-10枸杞紅棗山藥粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586220797,D50200011,1-11蔬菜鮭魚粥,冷凍粥飯,卡多摩,1,4,180,49,49
4710586221015,D50300001,1P-01金黃根莖雞蓉大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221039,D50300002,1P-02高麗野蔬雞蓉大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221053,D50300003,1P-03豚未香菇豆腐大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221077,D50300004,1P-04蔬菜鮭魚大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221091,D50300005,1P-05元氣牛肉大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221114,D50300006,1P-06絲瓜鱸魚大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221138,D50300007,1P-07百蔬蛋黃大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221152,D50300008,1P-08鮮魚野蕈大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221176,D50300009,1P-09粉紅豬豬大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221190,D50300010,1P-10四季春雞大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221213,D50300011,1P-11紫金雞蓉大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221237,D50300012,1P-12青花菇蕈大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221251,D50300013,1P-13芹香牛奶魚大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221275,D50300014,1P-14五彩雙嬌牛肉大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221299,D50300015,1P-15紫玉豆豆雞蓉大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221312,D50300016,1P-16豚末針菇大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221336,D50300017,1P-17甘栗瓜瓜魚肉大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221350,D50300018,1P-18蕃茄時蔬嫰雞大寶寶粥150g,冷凍粥飯,卡多摩,1,2,112.6,60,60
4710586221022,D50400001,1P-01金黃根莖雞蓉大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221046,D50400002,1P-02高麗野蔬雞蓉大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221060,D50400003,1P-03豚未香菇豆腐大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221084,D50400004,1P-04蔬菜鮭魚大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221107,D50400005,1P-05元氣牛肉大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221121,D50400006,1P-06絲瓜鱸魚大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221145,D50400007,1P-07百蔬蛋黃大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221169,D50400008,1P-08鮮魚野蕈大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221183,D50400009,1P-09粉紅豬豬大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221206,D50400010,1P-10四季春雞大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221220,D50400011,1P-11紫金雞蓉大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221244,D50400012,1P-12青花菇蕈大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221268,D50400013,1P-13芹香牛奶魚大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221282,D50400014,1P-14五彩雙嬌牛肉大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221305,D50400015,1P-15紫玉豆豆雞蓉大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221329,D50400016,1P-16豚末針菇大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221343,D50400017,1P-17甘栗瓜瓜魚肉大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221367,D50400018,1P-18蕃茄時蔬嫰雞大寶寶粥200g,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586223019,D50500001,2-M寶貝義大利麵,冷凍粥飯,卡多摩,1,2,60,30,30
4710586223026,D50500003,2-F寶貝米飯,冷凍粥飯,卡多摩,1,2,60,30,30
4710586221510,D50500004,2-1醬燒什錦豬肉,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221527,D50500005,2-2鮮奶起司鮭魚,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221534,D50500006,2-3馬鈴薯燉牛肉,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221602,D50500007,2-4塔香虱目魚,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221541,D50500008,2-5咖哩雞肉,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221558,D50500009,2-6奶香南瓜雞肉,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221565,D50500010,2-7香菇豆腐雞肉煲,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221572,D50500011,2-8洋蔥魚片,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221589,D50500012,2-9金黃鮮燴絲瓜,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221596,D50500013,2-10百菇鮮豚,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221619,D50500014,2-11香甜玉米雞肉,冷凍粥飯,卡多摩,1,2,97.6,52.5,52.5
4710586221817,D50600001,2-S1和風豚肉燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221824,D50600002,2-S2綠意什錦豬肉燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221831,D50600003,2-S3白醬魚片燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221848,D50600004,2-S4秋葵茄雞燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221855,D50600005,2-S5香菇雞湯燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221862,D50600006,2-S6羅宋牛肉燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221879,D50600007,2-S7鮭魚鮮燴燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221886,D50600008,2-S8豆豆美人燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221893,D50600009,2-S9蒜香蝦蝦燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221930,D50600010,2-S10五彩鮮魚燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221947,D50600011,S11田園雞肉燉飯,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586221923,D50600012,2-M3青醬海陸義麵,冷凍粥飯,卡多摩,1,2,135,71.5,71.5
4710586222012,D50700001,3-3蔬菜高湯,冷凍粥飯,卡多摩,1,2,46,23.5,23.5
4710586224078,E51010001,2-D01後元彩虹水餃,冷凍粥飯,卡多摩,1,1,102,109,109
4710586224085,E51010002,2-D02寶寶後元饅頭,冷凍粥飯,卡多摩,1,1,109,116,116
4710586224092,E51010003,2-D03寶寶後元蘿蔔糕,冷凍粥飯,卡多摩,1,1,119,119,119
4710586223002,E52010007,寶寶豬肉鬆,冷凍粥飯,卡多摩,1,1,85,92,92
4.71059E+12,D50100001,0-1純米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100002,0-2南瓜米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100003,0-3地瓜米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100004,0-4馬鈴薯米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100005,0-5紅蘿蔔米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100006,0-6甜菜根米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100007,0-7山藥米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100008,0-8青江菜米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100009,0-9小松葉米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100010,0-10青花椰菜米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100011,0-11高麗菜米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100012,0-12黑木耳米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100013,0-13洋蔥米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100015,0-15蘋果米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100016,0-16水梨米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100017,0-17雞肉米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100018,0-18豬肉米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100019,0-19鯛魚米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100020,0-20牛肉米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50100021,0-21絲瓜米泥,冷凍粥飯,吉寶通路,1,4,111,28,28
4.71E+12,D50200001,1-01玉米菇菇雞蓉粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200002,1-02雙瓜豬肉粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200003,1-03紅蔔甜椒雞蓉粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200004,1-04青翠白花豬豬粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200005,1-05番茄野菇雞蓉粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200006,1-06秋葵白菜牛肉粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200007,1-07紫心豬豬粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200008,1-08木耳海藻魚片粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200009,1-09清甜美人粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200010,1-10枸杞紅棗山藥粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50200011,1-11蔬菜鮭魚粥,冷凍粥飯,吉寶通路,1,4,190,51.5,51.5
4.71E+12,D50300001,1P-01金黃根莖雞蓉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300002,1P-02高麗野蔬雞蓉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300003,1P-03豚未香菇豆腐大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300004,1P-04蔬菜鮭魚大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300005,1P-05元氣牛肉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300006,1P-06絲瓜鱸魚大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300007,1P-07百蔬蛋黃大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300008,1P-08鮮魚野蕈大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300009,1P-09粉紅豬豬大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300010,1P-10四季春雞大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300011,1P-11紫金雞蓉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300012,1P-12青花菇蕈大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300013,1P-13芹香牛奶魚大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300014,1P-14五彩雙嬌牛肉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300015,1P-15紫玉豆豆雞蓉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300016,1P-16豚末針菇大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300017,1P-17甘栗瓜瓜魚肉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50300018,1P-18蕃茄時蔬嫰雞大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119,63.5,63.5
4.71E+12,D50400001,1P-01金黃根莖雞蓉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400002,1P-02高麗野蔬雞蓉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400003,1P-03豚未香菇豆腐大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400004,1P-04蔬菜鮭魚大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400005,1P-05元氣牛肉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400006,1P-06絲瓜鱸魚大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400007,1P-07百蔬蛋黃大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400008,1P-08鮮魚野蕈大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400009,1P-09粉紅豬豬大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400010,1P-10四季春雞大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400011,1P-11紫金雞蓉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400012,1P-12青花菇蕈大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400013,1P-13芹香牛奶魚大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400014,1P-14五彩雙嬌牛肉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400015,1P-15紫玉豆豆雞蓉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400016,1P-16豚末針菇大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400017,1P-17甘栗瓜瓜魚肉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50400018,1P-18蕃茄時蔬嫰雞大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50500001,2-M寶貝義大利麵,冷凍粥飯,吉寶通路,1,2,63,31.5,31.5
4.71E+12,D50500003,2-F寶貝米飯,冷凍粥飯,吉寶通路,1,2,63,31.5,31.5
4.71E+12,D50500004,2-1醬燒什錦豬肉,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500005,2-2鮮奶起司鮭魚,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500006,2-3馬鈴薯燉牛肉,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500007,2-4塔香虱目魚,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500008,2-5咖哩雞肉,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500009,2-6奶香南瓜雞肉,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500010,2-7香菇豆腐雞肉煲,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500011,2-8洋蔥魚片,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500012,2-9金黃鮮燴絲瓜,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500013,2-10百菇鮮豚,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50500014,2-11香甜玉米雞肉,冷凍粥飯,吉寶通路,1,2,103,55.5,55.5
4.71E+12,D50600001,2-S1和風豚肉燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600002,2-S2綠意什錦豬肉燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600003,2-S3白醬魚片燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600004,2-S4秋葵茄雞燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600005,2-S5香菇雞湯燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600006,2-S6羅宋牛肉燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600007,2-S7鮭魚鮮燴燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600008,2-S8豆豆美人燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600009,2-S9蒜香蝦蝦燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600010,2-S10五彩鮮魚燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600011,S11田園雞肉燉飯,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50600012,2-M3青醬海陸義麵,冷凍粥飯,吉寶通路,1,2,142,75,75
4.71E+12,D50700001,3-3蔬菜高湯,冷凍粥飯,吉寶通路,1,2,47,23.5,23.5
4.71E+12,E51010001,2-D01後元彩虹水餃,冷凍粥飯,吉寶通路,1,1,0,0,0
4.71E+12,E51010002,2-D02寶寶後元饅頭,冷凍粥飯,吉寶通路,1,1,0,0,0
4.71E+12,E51010003,2-D03寶寶後元蘿蔔糕,冷凍粥飯,吉寶通路,1,1,0,0,0
4.71E+12,E52010007,寶寶豬肉鬆,冷凍粥飯,吉寶通路,1,1,0,0,0
4.71E+12,D50100001,0-1純米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100002,0-2南瓜米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100003,0-3地瓜米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100004,0-4馬鈴薯米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100005,0-5紅蘿蔔米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100006,0-6甜菜根米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100007,0-7山藥米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100008,0-8青江菜米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100009,0-9小松葉米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100010,0-10青花椰菜米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100011,0-11高麗菜米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100012,0-12黑木耳米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100013,0-13洋蔥米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100015,0-15蘋果米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100016,0-16水梨米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100017,0-17雞肉米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100018,0-18豬肉米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100019,0-19鯛魚米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100020,0-20牛肉米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50100021,0-21絲瓜米泥,冷凍粥飯,婦幼展,1,4,150,35,37.5
4.71E+12,D50200001,1-01玉米菇菇雞蓉粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200002,1-02雙瓜豬肉粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200003,1-03紅蔔甜椒雞蓉粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200004,1-04青翠白花豬豬粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200005,1-05番茄野菇雞蓉粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200006,1-06秋葵白菜牛肉粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200007,1-07紫心豬豬粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200008,1-08木耳海藻魚片粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200009,1-09清甜美人粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200010,1-10枸杞紅棗山藥粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50200011,1-11蔬菜鮭魚粥,冷凍粥飯,婦幼展,1,4,130,60,65
4.71E+12,D50300001,1P-01金黃根莖雞蓉大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300002,1P-02高麗野蔬雞蓉大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300003,1P-03豚未香菇豆腐大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300004,1P-04蔬菜鮭魚大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300005,1P-05元氣牛肉大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300006,1P-06絲瓜鱸魚大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300007,1P-07百蔬蛋黃大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300008,1P-08鮮魚野蕈大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300009,1P-09粉紅豬豬大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300010,1P-10四季春雞大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300011,1P-11紫金雞蓉大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300012,1P-12青花菇蕈大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300013,1P-13芹香牛奶魚大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300014,1P-14五彩雙嬌牛肉大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300015,1P-15紫玉豆豆雞蓉大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300016,1P-16豚末針菇大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300017,1P-17甘栗瓜瓜魚肉大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50300018,1P-18蕃茄時蔬嫰雞大寶寶粥150g,冷凍粥飯,婦幼展,1,2,160,75,80
4.71E+12,D50400001,1P-01金黃根莖雞蓉大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400002,1P-02高麗野蔬雞蓉大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400003,1P-03豚未香菇豆腐大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400004,1P-04蔬菜鮭魚大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400005,1P-05元氣牛肉大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400006,1P-06絲瓜鱸魚大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400007,1P-07百蔬蛋黃大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400008,1P-08鮮魚野蕈大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400009,1P-09粉紅豬豬大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400010,1P-10四季春雞大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400011,1P-11紫金雞蓉大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400012,1P-12青花菇蕈大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400013,1P-13芹香牛奶魚大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400014,1P-14五彩雙嬌牛肉大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
4.71E+12,D50400015,1P-15紫玉豆豆雞蓉大寶寶粥200g,冷凍粥飯,婦幼展,1,2,190,90,95
